customerid,recency,frequency,monetary,Cluster3,Cluster4,Cluster,ClusterLabel
14646,1,74,280206.0199999998,0,1,1,Champions
18102,0,60,259657.30000000008,0,1,1,Champions
17450,8,46,194550.79000000007,0,1,1,Champions
16446,0,2,168472.5,0,1,1,Champions
14911,1,201,143825.0599999994,0,1,1,Champions
12415,24,21,124914.52999999972,0,1,1,Champions
14156,9,55,117379.6299999998,0,1,1,Champions
17511,2,31,91062.38,0,1,1,Champions
16029,38,63,81024.84000000001,0,1,1,Champions
12346,325,1,77183.6,1,3,3,Loyal Customers
16684,4,28,66653.56000000001,0,3,3,Loyal Customers
14096,4,17,65164.78999999963,0,3,3,Loyal Customers
13694,3,50,65039.62000000003,0,3,3,Loyal Customers
15311,0,91,60767.900000000125,0,1,1,Champions
13089,2,97,58825.83000000014,0,1,1,Champions
17949,1,45,58510.48000000001,0,3,3,Loyal Customers
15769,7,26,56252.72000000001,0,3,3,Loyal Customers
15061,3,48,54534.140000000014,0,3,3,Loyal Customers
14298,8,44,51527.29999999998,0,3,3,Loyal Customers
14088,10,13,50491.810000000005,2,3,3,Loyal Customers
15749,235,3,44534.3,1,3,3,Loyal Customers
12931,21,15,42055.95999999999,2,3,3,Loyal Customers
17841,1,124,40991.57000000007,0,1,1,Champions
15098,182,3,39916.5,1,3,3,Loyal Customers
13798,1,57,37153.84999999997,0,3,3,Loyal Customers
16013,3,47,37130.600000000006,0,3,3,Loyal Customers
16422,17,51,34684.400000000016,0,3,3,Loyal Customers
12748,0,210,33719.73000000031,0,1,1,Champions
15838,11,19,33643.08,2,3,3,Loyal Customers
17404,4,15,31906.82,2,3,3,Loyal Customers
17389,0,34,31833.68000000001,2,3,3,Loyal Customers
13098,1,28,28882.44,2,3,3,Loyal Customers
14680,25,16,28754.110000000004,2,3,3,Loyal Customers
13081,11,11,28337.380000000085,2,3,3,Loyal Customers
13408,1,62,28117.03999999998,0,3,3,Loyal Customers
17857,4,23,26879.04,2,3,3,Loyal Customers
16333,7,22,26626.8,2,3,3,Loyal Customers
13777,0,33,25977.159999999985,2,3,3,Loyal Customers
12753,22,6,21429.39,2,0,0,Potential Customers
12744,51,7,21279.289999999997,2,3,3,Loyal Customers
16210,1,18,21086.3,2,3,3,Loyal Customers
17675,1,31,20374.27999999996,2,3,3,Loyal Customers
17381,8,29,20275.60999999999,2,3,3,Loyal Customers
15039,9,47,19914.43999999997,2,3,3,Loyal Customers
12471,2,30,19824.04999999994,2,3,3,Loyal Customers
12731,23,12,18895.910000000007,2,3,3,Loyal Customers
15159,1,30,18641.01000000002,2,3,3,Loyal Customers
12901,8,28,17654.539999999997,2,3,3,Loyal Customers
12678,42,12,17628.460000000003,2,3,3,Loyal Customers
14031,7,19,17286.85999999999,2,3,3,Loyal Customers
17428,0,28,17256.850000000002,2,3,3,Loyal Customers
13767,2,37,17220.360000000008,2,3,3,Loyal Customers
13881,3,20,17159.519999999997,2,3,3,Loyal Customers
16839,8,34,16594.349999999984,2,3,3,Loyal Customers
12921,9,37,16587.09000000002,2,3,3,Loyal Customers
14607,15,14,16569.5,2,3,3,Loyal Customers
15856,4,27,16387.570000000003,2,3,3,Loyal Customers
17677,1,30,16363.229999999998,2,3,3,Loyal Customers
15189,1,41,16225.390000000009,2,3,3,Loyal Customers
14051,0,23,15610.38999999999,2,3,3,Loyal Customers
15513,33,19,14758.219999999998,2,3,3,Loyal Customers
16133,3,33,14589.039999999995,2,3,3,Loyal Customers
14866,10,12,14389.900000000009,2,3,3,Loyal Customers
16705,0,20,14034.989999999989,2,3,3,Loyal Customers
12681,14,22,13787.540000000005,2,3,3,Loyal Customers
12621,1,20,13689.669999999998,2,3,3,Loyal Customers
12540,19,17,13400.239999999989,2,3,3,Loyal Customers
12433,0,7,13375.86999999999,2,0,0,Potential Customers
15498,2,27,13316.399999999992,2,3,3,Loyal Customers
12477,22,6,13219.73999999999,2,0,0,Potential Customers
17735,2,19,13110.019999999997,2,3,3,Loyal Customers
16525,2,26,13027.450000000008,2,3,3,Loyal Customers
14258,9,9,12669.979999999996,2,0,0,Potential Customers
13078,3,26,12627.94,2,3,3,Loyal Customers
12536,43,3,12601.830000000002,2,0,0,Potential Customers
15640,4,15,12515.659999999982,2,3,3,Loyal Customers
16000,2,3,12393.7,2,0,0,Potential Customers
17340,29,11,12353.289999999995,2,3,3,Loyal Customers
12682,3,31,12288.219999999998,2,3,3,Loyal Customers
13113,0,24,12245.960000000005,2,3,3,Loyal Customers
14606,1,93,12156.650000000072,0,3,3,Loyal Customers
12557,16,5,11990.96,2,0,0,Potential Customers
12939,64,8,11581.8,2,0,0,Potential Customers
15125,25,15,11528.48,2,3,3,Loyal Customers
14194,4,21,11349.519999999991,2,3,3,Loyal Customers
12971,3,86,11189.909999999996,0,3,3,Loyal Customers
14895,7,20,11138.710000000008,2,3,3,Loyal Customers
12409,78,3,11072.670000000006,2,0,0,Potential Customers
15482,15,12,11054.960000000005,2,3,3,Loyal Customers
17581,0,25,11045.03999999999,2,3,3,Loyal Customers
13319,5,26,10845.549999999988,2,3,3,Loyal Customers
17107,33,6,10815.429999999991,2,0,0,Potential Customers
13340,45,7,10736.47999999999,2,0,0,Potential Customers
14769,2,8,10674.750000000004,2,0,0,Potential Customers
17139,15,12,10668.469999999988,2,3,3,Loyal Customers
16779,2,22,10629.719999999988,2,3,3,Loyal Customers
17865,30,20,10526.319999999996,2,3,3,Loyal Customers
17706,4,17,10504.489999999994,2,3,3,Loyal Customers
15251,9,11,10484.989999999994,2,0,0,Potential Customers
14062,9,12,10464.85,2,3,3,Loyal Customers
15615,10,23,10399.739999999989,2,3,3,Loyal Customers
15502,15,12,10384.93,2,3,3,Loyal Customers
16180,100,8,10254.18,2,0,0,Potential Customers
16843,42,16,10196.570000000009,2,3,3,Loyal Customers
12590,211,2,9864.260000000002,1,2,2,Lost Customers
13001,4,13,9818.820000000012,2,3,3,Loyal Customers
13199,3,38,9817.12,2,3,3,Loyal Customers
15078,7,32,9743.110000000022,2,3,3,Loyal Customers
12709,15,15,9736.519999999991,2,3,3,Loyal Customers
13458,7,14,9646.570000000002,2,3,3,Loyal Customers
14733,16,12,9585.91,2,3,3,Loyal Customers
16523,1,21,9418.470000000005,2,3,3,Loyal Customers
12567,22,10,9401.28,2,0,0,Potential Customers
14367,8,16,9261.520000000006,2,3,3,Loyal Customers
14667,10,25,9241.200000000004,2,3,3,Loyal Customers
18092,2,11,9068.260000000004,2,0,0,Potential Customers
13969,7,18,9053.940000000002,2,3,3,Loyal Customers
12451,10,5,9035.519999999991,2,0,0,Potential Customers
13488,17,13,8968.309999999996,2,3,3,Loyal Customers
13090,8,14,8910.82,2,3,3,Loyal Customers
16033,5,20,8816.39999999998,2,3,3,Loyal Customers
17017,2,20,8694.260000000002,2,3,3,Loyal Customers
17243,1,26,8676.849999999997,2,3,3,Loyal Customers
17306,10,19,8631.310000000003,2,3,3,Loyal Customers
16656,22,15,8625.800000000001,2,3,3,Loyal Customers
14527,2,55,8508.819999999962,2,3,3,Loyal Customers
12683,4,15,8476.569999999998,2,3,3,Loyal Customers
18139,17,6,8438.339999999997,2,0,0,Potential Customers
15358,4,22,8347.199999999992,2,3,3,Loyal Customers
16558,0,20,8338.490000000013,2,3,3,Loyal Customers
14056,1,23,8214.649999999981,2,3,3,Loyal Customers
14936,33,8,8137.019999999999,2,0,0,Potential Customers
16672,2,20,8134.94,2,3,3,Loyal Customers
13854,8,25,8109.519999999999,2,3,3,Loyal Customers
14952,59,11,8099.489999999998,2,0,0,Potential Customers
18109,1,26,8052.969999999998,2,3,3,Loyal Customers
14796,1,17,8022.489999999973,2,3,3,Loyal Customers
12428,25,9,7956.460000000003,2,0,0,Potential Customers
